"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"ZPBP, SP38","Zona pellucida-binding protein","ZPBP",,,,
"IKZF1, ZNFN1A1, IK1, LYF1, CVID13","Ikaros family zinc finger 1","IKZF1","N","Y","N","N"
"FIGNL1","Fidgetin-like protein 1","FIGNL1",,,,
"DDC","DOPA decarboxylase (aromatic L-amino acid decarboxylase)","DDC","Y","N","N","N"
"CMH21","Cardiomyopathy, familial hypertrophic, 21","","N","Y","N","N"
"GRB10, RSS","Growth factor receptor-bound protein-10","GRB10",,,,
"COBL, KIAA0633","Cordon-bleu, mouse, homolog of","COBL",,,,
"HPC4","Prostate cancer, hereditary, 4","","N","Y","N","N"
"NYS3","Nystagmus 3, congenital, autosomal dominant","NYS3","N","Y","N","N"
"SRS, RSS","Silver-Russell syndrome","","N","N","N","Y"
"HPVC1, PE5L","Human papillomavirus E5 central sequence-like 1","HPVC1",,,,
"SEC61G","Sec61 complex, gamma subunit","SEC61G",,,,
"EGFR, NISBD2","Epidermal growth factor receptor","EGFR","Y","N","N","N"
"LANCL2, TASP","LanC-like 2","LANCL2",,,,
"VOPP1, ECOP, GASP","Vesicular, overexpressed in cancer, prosurvival protein 1","VOPP1",,,,
"PSPHP1, PSPHL, CO9","Phosphoserine phosphatase-like (pseudogene)","PSPHP1",,,,
"SEPT14","Septin 14","SEPT14",,,,
"ZNF713","Zinc finger protein 713","ZNF713",,,,
"MRPS17","Mitochondrial ribosomal protein S17","MRPS17",,,,
"GBAS, NIPSNAP2","Glioblastoma amplified sequence","GBAS",,,,
"PSPH, PSP, PSPHD","Phosphoserine phosphatase","PSPH","Y","N","N","N"
"CCT6A, CCT6, HTR3, TCP20","Chaperonin containing T-complex polypeptide 1, subunit 6A","CCT6A",,,,
"SUMF2","Sulfatase-modifying factor 2","SUMF2",,,,
"PHKG1","Phosphorylase kinase, gamma 1, muscle","PHKG1",,,,
"CHCHD2, PARK22","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2","CHCHD2","N","Y","N","N"
"HRX","Hyperreflexia","",,,,
"MLSM7, DEL7q, C7DELq","Monosomy 7 of bone marrow","","Y","N","N","N"
"ANIB1","Aneurysm, intracranial berry, 1","ANIB1","N","Y","N","N"
"EEC1","Ectrodactyly, ectodermal dysplasia, cleft lip/palate, 1","EEC1","N","Y","N","N"
"EOE1, EE","Esophagitis, eosinophilic, 1","","N","N","N","N"
"ZNF107","Zinc finger protein-107","ZNF107",,,,
"ZNF138","Zinc finger protein-138","ZNF138",,,,
"ZNF117","Zinc finger protein-117","ZNF117",,,,
"ERV3","Endogenous retroviral sequence-3 (includes zinc finger protein H-plk)","ERV3-1",,,,
"ZNF92","Zinc finger protein-92","ZNF92",,,,
"VKORC1L1","Vitamin K epoxide reductase complex, subunit 1-like 1","VKORC1L1",,,,
"GUSB, MPS7","Glucuronidase, beta-","GUSB","Y","N","N","N"
"ASL","Argininosuccinate lyase","ASL","Y","N","N","N"
"RCP","Calcitonin gene-related peptide receptor component protein","CRCP",,,,
"TPST1","Tyrosylprotein sulfotransferase 1","TPST1",,,,
"KCTD7, EPM3, CLN14","Potassium channel tetramerization domain containing 7","KCTD7","Y","N","N","N"
"RABGEF1, RABEX5","RAB guanine nucleotide exchange factor 1","RABGEF1",,,,
"SBDS, SDS","SBDS gene","SBDS","Y","N","N","N"
"TYW1","tRNA-wybutosine-synthesizing protein 1, S. cerevisiae, homolog of","TYW1",,,,
"KIAA0442, MRD26","KIAA0442 gene","AUTS2","N","Y","N","N"
"WBSCR17, GALNTL3, GALNACT17","Williams-Beuren syndrome chromosome region 17","WBSCR17",,,,
"DEL7q11.23, C7DELq11.23","Chromosome 7q11.23 deletion syndrome, distal, 1.2Mb","","N","N","N","N"
"DUP7q11.23, C7DUPq11.23","Chromosome 7q11.23 duplication syndrome","","N","Y","N","N"
"UPK3B, UPIIIB, P35","Uroplakin 3B","UPK3B",,,,
"WBS, WMS, WS, DEL7q11, C7DELq11","Williams-Beuren syndrome (chromosome 7q11.23 deletion syndrome)","","N","Y","N","N"
"POM121, POM121A, KIAA0618","POM121 transmembrane nucleoporin","POM121",,,,
"TRIM74, TRIM50C","Tripartite motif-containing protein 74","TRIM74",,,,
"NSUN5, WBSCR20, WBSCR20A","NOP2/SUN domain family, member 5","NSUN5",,,,
"TRIM50, TRIM50A","Tripartite motif-containing protein 50","TRIM50",,,,
"FKBP6","FK506-binding protein 6","FKBP6",,,,
"FZD9, FZD3","Frizzled, Drosophila, homolog of, 9","FZD9",,,,
"BAZ1B, WSTF, WBSCR9","Bromodomain adjacent to zinc finger domain, 1B","BAZ1B",,,,
"BCL7B","B-cell CLL/lymphoma 7B","BCL7B",,,,
"TBL2","Transducin-beta-like 2","TBL2",,,,
"MLXIPL, WBSCR14, MONDOB, CHREBP","MLX interacting protein-like","MLXIPL",,,,
"VPS37D, WBSCR24","Vacuolar protein sorting 37, yeast, homolog of, D","VPS37D",,,,
"WBSCR22, MERM1","Williams-Beuren syndrome critical region 22","WBSCR22",,,,
"STX1A, STX1","Syntaxin 1A, brain","STX1A",,,,
"WBSCR26","Williams-Beuren syndrome chromosome region 26","ABHD11-AS1",,,,
"CLDN3, CPETR2","Claudin-3 (Clostridium perfringens enterotoxin receptor 2)","CLDN3",,,,
"CLDN4, CPETR1, CPER","Claudin 4","CLDN4",,,,
"WBSCR27","Williams-Beuren syndrome chromosome region 27","WBSCR27",,,,
"WBSCR28","Williams-Beuren syndrome chromosome region 28","WBSCR28",,,,
"ELN","Elastin","ELN","N","Y","N","N"
"LIMK1","LIM domain kinase 1","LIMK1",,,,
"EIF4H, WBSCR1, WSCR1","Eukaryotic translation initiation factor 4H","EIF4H",,,,
"MIR590","Micro RNA 590","MIR590",,,,
"LAT2, WBSCR5, LAB, NTAL","Linker for activation of T cells family, member 2","LAT2",,,,
"RFC2","Replication factor C2, 40kD (activator 1, 40kD)","RFC2",,,,
"CLIP2, CYLN2, WBSCR4, WSCR4","CAP-GLY domain-containing linker protein 2","CLIP2",,,,
"GTF2IRD1, GTF3, MUSTRD1, WBS","GTF21 repeat domain-containing protein 1","GTF2IRD1",,,,
"GTF2I, BAP135, WBS","General transcription factor II-I (BTK-associated protein, 135kD)","GTF2I",,,,
"NCF1","Neutrophil cytosolic factor-1, 47kD","NCF1","Y","N","N","N"
"GATSL2, CASTOR2","GATS protein-like 2","GATSL2",,,,
"TRIM73, TRIM50B","Tripartite motif-containing protein 73","TRIM73",,,,
"POM121C, POM121-2","POM121 Transmembrane nucleoporin C","POM121C",,,,
"HIP1","Huntingtin interacting protein-1","HIP1","N","Y","N","N"
"CCL26, SCYA26","Chemokine, C-C motif, ligand 26","CCL26",,,,
"CCL24, SCYA24, MPIF2","Chemokine, C-C motif, ligand 24","CCL24",,,,
"RHBDD2","Rhomboid domain-containing protein 2","RHBDD2",,,,
"POR","Cytochrome P450 oxidoreductase","POR","Y","N","N","N"
"TMEM120A, TMPIT, NET29","Transmembrane protein 120A","TMEM120A",,,,
"STYXL1, MKSTYX, DUSP24","Serine/threonine/tyrosine-interacting protein-like 1","STYXL1",,,,
"MDH2","Malate dehydrogenase, mitochondrial","MDH2",,,,
"HSPB1, HSP27, CMT2F, HMN2B","Heat-shock 27kD protein-1","HSPB1","N","Y","N","N"
"YWHAG","Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma isoform","YWHAG",,,,
"SRCRB4D","Protein with 4 group B scavenger receptor cysteine-rich domains","SSC4D",,,,
"ZP3, ZP3A, ZP3B","Zona pellucida glycoprotein-3 (sperm receptor)","ZP3",,,,
"DTX2, KIAA1528","Deltex, Drosophila, homolog of, 2","DTX2",,,,
"POMZP3","POM121/ZP3 fusion protein","POMZP3",,,,
"FGL2","Fibrinogen-like 2","FGL2",,,,
"GSAP, PION","Gamma-secretase-activating protein","GSAP",,,,
"PTPN12, PTPG1","Protein tyrosine phosphatase, nonreceptor-type, 12","PTPN12","N","N","N","N"
"APTR","Alu-mediated CDKN1A/p21 transcriptional regulator, noncoding","APTR",,,,
"PHTF2","Putative homeodomain transcription factor 2","PHTF2",,,,
"MAGI2IT, PR47","MAGI2 intronic transcript","MAGI2-IT1",,,,
"MHS3","Malignant hyperthermia susceptibility 3","","N","Y","N","N"
"STQTL11","Stature quantitative trait locus 11","","N","N","N","N"
"AIP1, KIAA0705","Atrophin 1-interacting protein 1","MAGI2",,,,
"GNAI1","Guanine nucleotide-binding protein (G protein), alpha-inhibiting activity polypeptide-1","GNAI1",,,,
"GNAT3, GDCA","Guanine nucleotide-binding protein, alpha-transducing activity polypeptide 3","GNAT3",,,,
"CD36, CHDS7, BDPLT10","CD36 antigen (collagen type I)","CD36","Y","N","N","N"
"SEMA3C","Semaphorin 3C","SEMA3C",,,,
"HGF, DFNB39","Hepatic growth factor","HGF","Y","N","N","N"
"CACNA2, CACNL2A","Calcium channel, voltage-dependent, L type, alpha 2/delta subunit","CACNA2D1",,,,
"PCLO, PCH3","Piccolo, mouse, homolog of","PCLO","Y","N","N","N"
"SEMA3E, SEMAH, KIAA0331","Semaphorin 3E","SEMA3E","N","Y","N","N"
"SEMA3A, SEMAD, COLL1, HH16","Semaphorin 3A","SEMA3A","N","Y","N","N"
"SEMA3D","Semaphorin 3D","SEMA3D",,,,
"GRM3","Glutamate receptor, metabotropic-3","GRM3",,,,
"KIAA1324L, EIG121L","KIAA1324-like gene","KIAA1324L",,,,
"DMTF1, DMP1","Cyclin D-binding MYB-like transcription factor 1","DMTF1",,,,
"TMEM243, C7orf23, MMTRAG","Transmembrane protein 243","TMEM243",,,,
"TP53TG1","TP53 target gene 1","TP53TG1",,,,
"CROT, COT","Carnitine octanoyltransferase","CROT",,,,
"ABCB4, PGY3, MDR3, ICP3","ATP-binding cassette, subfamily B, member 4 (P-glycoprotein-3/multiple drug resistance-3)","ABCB4","Y","Y","N","N"
"ABCB1, PGY1, MDR1, IBD13, CLCs","ATP-binding cassette, subfamily B, member 1 (P-glycoprotein-1/multiple drug resistance-1)","ABCB1","N","N","N","N"
"SLC25A40","Solute carrier family 25, member 40","SLC25A40",,,,
"ASK, DBF4","Activator of S-phase kinase","DBF4",,,,
"ADAM22","A disintegrin and metalloproteinase domain 22","ADAM22",,,,
"SRI, SCN","Sorcin (class 4 gene)","SRI",,,,
"STEAP4, STAMP2, TIARP","Six-transmembrane epithelial antigen of prostate 4","STEAP4",,,,
"STEAP","Six-transmembrane epithelial antigen of the prostate","STEAP1",,,,
"STEAP2, STAMP1, IPCA1, PCANAP1","Six-transmembrane epithelial antigen of prostate 2","STEAP2",,,,
"GTPBP10, OBGH2","GTP-binding protein 10","GTPBP10",,,,
"CLKDN12","Claudin 12","CLDN12",,,,
"CDK14, PFTK1, PFTAIRE1, KIAA0834","Cyclin-dependent kinase 14","CDK14",,,,
"FZD1","Frizzled, Drosophila, homolog of, 1","FZD1",,,,
"SHFM1, SHFD1, SHSF1","Split hand/foot malformation (ectrodactyly) type 1","","N","Y","N","N"
"MTERF","Transcription termination factor, mitochondrial","MTERF1",,,,
"AKAP9, YOTIAO, AKAP450","A-kinase anchor protein 9","AKAP9","N","N","N","N"
"CYP51A1, CYP51","Cytochrome P450, family 51, subfamily A, polypeptide 1 (lanosterol 14-alpha-demethylase)","CYP51A1",,,,
"CCM1, CAM, KRIT1","KREV interaction trapped 1","KRIT1","N","Y","N","N"
"GATAD1, ODAG, CMD2B","GATA zinc finger domain-containing protein 1","GATAD1","Y","N","N","N"
"ERVW1, ERVWE1, HERVW","Endogenous retroviral family W, member 1 (syncytin)","ERVW-1",,,,
"PEX1, ZWS1, PBD1A, PBD1B, HMLR1","Peroxisome biogenesis factor-1","PEX1","Y","N","N","N"
"CDK6, PLSTIRE, MCPH12","Cyclin-dependent kinase 6","CDK6","Y","N","N","N"
"SAMD9, NFTC, MIRAGE","Sterile alpha motif domain-containing protein 9","SAMD9","Y","N","N","N"
"SAMD9L, ATXPC","Sterile alpha motif domain-containing 9-like","SAMD9L","N","Y","N","N"
"HEPACAM2, MIKI","Hepacam family member 2","HEPACAM2",,,,
"VPS50, CCDC132, KIAA1861","VPS50, EARP/GARPII complex subunit","VPS50",,,,
"CALCR, CRT","Calcitonin receptor","CALCR","N","Y","N","N"
"MIR489","Micro RNA 489","MIR489",,,,
"TFPI2","Tissue factor pathway inhibitor-2","TFPI2",,,,
"GNGT1","Guanine nucleotide-binding protein, gamma-transducing activity polypeptide 1","GNGT1",,,,
"GNG11","Guanine nucleotide-binding protein, gamma 11","GNG11",,,,
"BET1","Bet1 golgi vesicular membrane-trafficking protein","BET1",,,,
"COL1A2","Collagen I, alpha-2 polypeptide","COL1A2","Y","Y","N","N"
"CASD1, C7orf12","CAS1 domain-containing protein 1","CASD1",,,,
"SGCE, DYT11","Sarcoglycan, epsilon","SGCE","N","Y","N","N"
"PEG10, KIAA1051","Paternally expressed gene 10","PEG10",,,,
"PPP1R9A, NRBI, NRB1, KIAA1222","Protein phosphatase 1, regulatory subunit 9A (neurabin I)","PPP1R9A",,,,
"PON1, PON, ESA, MVCD5","Paraoxonase-1","PON1","N","N","N","N"
"PON3","Paraoxonase-3","PON3",,,,
"PON2","Paraoxonase-2","PON2","N","N","N","N"
"ASB4","Ankyrin repeat-containing SOCS box protein 4","ASB4",,,,
"PDK4","Pyruvate dehydrogenase kinase, isoenzyme 4","PDK4",,,,
"DNCI1","Dynein, cytoplasmic, intermediate chain 1","DYNC1I1",,,,
"SLC25A13, CTLN2","Solute carrier family 25 (mitochondrial carrier, citrin), member 13","SLC25A13","Y","N","N","N"
"DSS1","Deleted in split-hand/split-foot 1 region","SHFM1",,,,
"DLX6","Distal-less homeo box-6","DLX6",,,,
"DLX5, SHFM1D","Distal-less homeo box-5","DLX5","Y","N","N","N"
"ACN9","Acn9, S. cerevisiae, homolog of","SDHAF3",,,,
"TAC1, TAC2, NKNA","Tachykinin 1 (substance K; neurokinin A; neurokinin 2; neuromedin L; neuropeptide gamma; tachykinin 2)","TAC1",,,,
"ASNS, ASNSD","Asparagine synthetase","ASNS","Y","N","N","N"
"LMTK2, KPI2, BREK, KIAA1079","Lemur tyrosine kinase 2","LMTK2",,,,
"TECPR1, KIAA1358","Tectonin beta-propeller repeat-containing 1","TECPR1",,,,
"BRI3","Brain protein I3","BRI3",,,,
"BAIAP2L1, IRTKS","BAI1-associated protein 2-like 1","BAIAP2L1",,,,
"AUTS1","Autism, susceptibility to, 1","","N","N","N","Y"
"G7P1","Kinase-like protein","",,,,
"GAEC1","Gene amplified in esophageal cancer 1","",,,,
"IBD11","Inflammatory bowel disease 11","","N","N","N","N"
"MUC3B","Mucin 3B, intestinal","MUC3B",,,,
"MYH16","Myosin, heavy chain 16, skeletal muscle","MYH16",,,,
"NM, NCR","Neutrophil migration, abnormal","NM","N","Y","N","N"
"PAPA4","Polydactyly, postaxial, type A4","","N","N","N","N"
"SCA18, SMNA","Spinal cerebellar ataxia 18","SCA18","N","Y","N","N"
"NPTX2","Pentraxin II","NPTX2",,,,
"TRRAP","Transformation/transcription domain-associated protein","TRRAP",,,,
"SMURF1","SMAD ubiquitination regulatory factor 1","SMURF1",,,,
"KPNA7","Karyopherin alpha 7","KPNA7",,,,
"ARPC1A, SOP2L","Actin-related protein 2/3 complex, subunit 1A","ARPC1A",,,,
"ARPC1B, ARC41","Actin-related protein 2/3 complex, subunit 1B","ARPC1B",,,,
"PDAP1, PAP1, PAP","PDGFA-associated protein 1","PDAP1",,,,
"BUD31, G10","Bud31, S. cerevisiae, homolog of","BUD31",,,,
"PTCD1, KIAA0632","Pentatricopeptide repeat domain 1","PTCD1",,,,
"CPSF4, CPSF30, NEB1","Cleavage-polyadenylation specificity factor 4, 30kD","CPSF4",,,,
"ZKSCAN5, ZFP95, KIAA1015","Zinc finger protein with KRAB and SCAN domains 5","ZKSCAN5",,,,
"CYP3A5, P450PCN3","Cytochrome P450, subfamily IIIA, polypeptide 5","CYP3A5","N","N","N","N"
"CYP3A7","Cytochrome P450, subfamily IIIA, polypeptide 7","CYP3A7",,,,
"CYP3A4","Cytochrome P450, subfamily IIIA (nifedipine oxidase) polypeptide 4","CYP3A4",,,,
"CYP3A43","Cytochrome P450, subfamily IIIa, polypeptide 43","CYP3A43",,,,
"GJC3, CX30.2, CX31.3","Gap junction protein, gamma-3","GJC3",,,,
"AZGP1, ZAG","Alpha-2-glycoprotein, zinc","AZGP1",,,,
"ZNF36, KOX18","Zinc finger protein-36 (KOX 18)","ZKSCAN1",,,,
"ZNF38, KOX25","Zinc finger protein-38 (KOX 25)","ZSCAN21",,,,
"ZNF3","Zinc finger protein-3","ZNF3",,,,
"COPS6, CSN6","COP9 signalosome, subunit 6","COPS6",,,,
"MCM7, MCM2","Minichromosome maintenance deficient, S. cerevisiae, homolog of, 7","MCM7",,,,
"MIR25, MIRN25","Micro RNA 25","MIR25",,,,
"MIR93, MIRN9","Micro RNA 93","MIR93",,,,
"MIR106B, MIRN106B","Micro RNA 106B","MIR106B",,,,
"AP4M1, SPG50, CPSQ3","Adaptor-related protein complex 4, mu-1 subunit","AP4M1","Y","N","N","N"
"TAF6, TAF2E, TAFII80","TAF6 RNA polymerase II, TATA box-binding protein-associated factor, 80kD","TAF6",,,,
"CNPY4, PRAT4B, MGC40499","Canopy 4, zebrafish, homolog of","CNPY4",,,,
"GAL3ST4","Galactose-3-O-sulfotransferase 4","GAL3ST4",,,,
"STAG3, POF8","Stromalin 3","STAG3","Y","N","N","N"
"PVRIG, CD112R, C7orf15","Poliovirus receptor-related immunoglobulin domain-containing protein","PVRIG",,,,
"PMS2P1, PMS2L1, PMS3","Postmeiotic segregation increased 2 pseudogene 1","PMS2P1",,,,
"PILRB","Paired immunoglobulin-like receptor, beta","PILRB",,,,
"PILRA","Paired immunoglobulin-like receptor, alpha","PILRA",,,,
"MEPCE, BCDIN3","Methylphosphate capping enzyme","MEPCE",,,,
"TSC22D4, THG1","TSC22 domain family, member 4","TSC22D4",,,,
"NYPA1","Neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1","NYAP1",,,,
"AGFG2, HRBL, RABR","ADP-ribosylation factor GTPase-activating protein with FG repeats 2","AGFG2",,,,
"FBXO24, FBX24","F-box only protein 24","FBXO24",,,,
"PCOLCE","Procollagen C-endopeptidase enhancer","PCOLCE",,,,
"TFR2, HFE3","Transferrin receptor 2","TFR2","N","N","N","N"
"ACTL6B, BAF53B","Actin-like 6B","ACTL6B",,,,
"GNB2","Guanine nucleotide-binding protein, beta polypeptide-2","GNB2",,,,
"GIGYF1","GRB10-interacting GYF protein 1","GIGYF1",,,,
"POP7, RPP20","Processing of precursor 7, S. cerevisiae, homolog of","POP7",,,,
"EPO, MVCD2","Erythropoietin","EPO","N","N","N","N"
"ZAN","Zonadhesin","ZAN",,,,
"EPHB4, HTK, MYK1","Ephrin receptor EphB4 (hepatoma transmembrane kinase)","EPHB4",,,,
"SLC12A9, CIP1, CCC6","Solute carrier family 12 (potassium/chloride transporter), member 9","SLC12A9",,,,
"TRIP6, OIP1","Thyroid hormone receptor interactor-6","TRIP6",,,,
"SRRT, ARS2","Serrate RNA effector molecule, arabidopsis, homolog of","SRRT",,,,
"UFSP1","UFM1-specific protease 1","UFSP1",,,,
"ACHE, YT","Acetylcholinesterase (YT blood group)","ACHE","N","N","N","N"
"MUC3A","Mucin 3A, intestinal","MUC3A",,,,
"MUC12, MUC11","Mucin 12","MUC12",,,,
"MUC17","Mucin 17","MUC17",,,,
"TRIM56","Tripartite motif-containing protein 56","TRIM56",,,,
"PAI1, PLANH1, SERPINE1","Plasminogen activator inhibitor, type I","SERPINE1","Y","Y","N","N"
"AP1S1, CLAPS1, AP19, MEDNIK","Adaptor-related protein complex 1, sigma 1 subunit","AP1S1","Y","N","N","N"
"VGF","VGF nerve growth factor inducible","VGF",,,,
"NAT16","N-acetyltransferase 16","NAT16",,,,
"MOGAT3, MGAT3","Monoacylglycerol O-acyltransferase 3","MOGAT3",,,,
"PLOD3, LH3","Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (lysyl hydroxylase 3)","PLOD3","Y","N","N","N"
"CLDN15","Claudin 15","CLDN15",,,,
"TTC11, FIS1","Tetratricopeptide repeat domain 11","FIS1",,,,
"SH2B1, SH2B, KIAA1299","SH2B adaptor protein 1","COL26A1",,,,
"CUTL1, CDP","Cut, Drosophila, homolog of (CCAAT displacement protein)","CUX1",,,,
"APS","Adaptor protein containing PH and SH2 domains","SH2B2",,,,
"ORAI2, MEM142B, C7orf19","ORAI calcium release-activated calcium modulator 2","ORAI2",,,,
"ALKBH4, ABH4","AlkB, E. coli, homolog of, 4","ALKBH4",,,,
"LRWD1, ORCA","Leucine-rich repeats- and WD repeat domain-containing protein 1","LRWD1",,,,
"POLR2J","Polymerase II, RNA, subunit J","POLR2J",,,,
"RASA4, CAPRI, GAPL, KIAA0538","Ras p21 protein activator 4","RASA4",,,,
"POLR2J2, RPB11","RNA polymerase II polypeptide J-related gene","POLR2J2",,,,
"EBXL13, FBL13","F-box and leucine-rich repeat protein 13","FBXL13",,,,
"NFE4","Transcription factor NFE4","NFE4",,,,
"ARMC10, SVH","Armadillo repeat-containing 10","ARMC10",,,,
"NAPEPLD","N-acyl phosphatidylethanolamine-hydrolyzing phospholipase D","NAPEPLD",,,,
"MPPB","Mitochondrial processing peptidase-beta","PMPCB",,,,
"DNAJC2, ZRF1, MPP11","DnaJ (Hsp40) homolog, subfamily C, member 2","DNAJC2",,,,
"PSMC2, MSS1, S7","Proteasome 26S subunit, ATPase, 2","PSMC2",,,,
"SLC26A5, PRES, DFNB61","Solute carrier family 26, member 5","SLC26A5","Y","N","N","N"
"RELN, RL, LIS2, ETL7","Reelin","RELN","Y","Y","N","N"
"ORC5, ORC5L","Origin recognition complex, subunit 5, S. cerevisiae, homolog of","ORC5",,,,
"LHFPL3","LHFP-like protein 3","LHFPL3",,,,
"CMD1Q","Cardiomyopathy, dilated, 1Q","CMD1Q","N","N","N","N"
"MPVQTL6","Mean platelet volume quantitative trait locus 6","","N","N","N","N"
"KMT2E, MLL5","Lysine (K)-specific methyltransferase 2E","KMT2E",,,,
"PUS7, KIAA1897","Pseudouridylate synthase 7, putative","PUS7",,,,
"RINT1","RAD50-interacting protein 1","RINT1",,,,
"CDHR3","Cadherin-related family, member 3","CDHR3",,,,
"SYPL1, SYPL","Synaptophysin-like 1","SYPL1",,,,
"NAMPT, PBEF1, VF, PBEF","Nicotinamide phosphoribosyltransferase","NAMPT",,,,
"PIK3CG","Phosphatidylinositol 3-kinase, catalytic, gamma","PIK3CG",,,,
"PRKAR2B","Protein kinase, cAMP-dependent, regulatory, type II, beta","PRKAR2B",,,,
"HBP1","HMG-box transcription factor 1","HBP1",,,,
"COG5, GOLTC1, GTC90, CDG2I","Component of oligomeric golgi complex 5","COG5","N","N","N","N"
"GPR22","G protein-coupled receptor-22","GPR22",,,,
"SLC26A4, PDS, DFNB4, EVA, TDH2B","Solute carrier family 26 (sulfate transporter), member 4","SLC26A4","Y","N","N","N"
"CBLL1, HAKAI, RNF188","Cas-Br-M murine ectopic retroviral transforming sequence like-1","CBLL1",,,,
"SLC26A3, DRA, CLD","Solute carrier family 26 (sulfate transporter), member 3","SLC26A3","Y","N","N","N"
"AUTS9","Autism, susceptibility to, 9","","N","N","N","N"
"DFNB14","Deafness, autosomal recessive 14","DFNB14","Y","N","N","N"
"DFNB17","Deafness, autosomal recessive 17","DFNB17","Y","N","N","N"
"DLD, LAD, PHE3, DLDD","Dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex)","DLD","Y","N","N","N"
"LAMB1, LIS5","Laminin, beta-1","LAMB1","Y","N","N","N"
"LAMB4","Laminin, beta-4","LAMB4",,,,
"NRCAM","Neuronal cell adhesion molecule","NRCAM",,,,
"PNPLA8, MMLA","Patatin-like phospholipase domain-containing protein 8","PNPLA8","Y","N","N","N"
"THAP5","THAP domain-containing protein 5","THAP5",,,,
"DNAJB9, MDG1","DnaJ, E. coli, homolog of, subfamily B, member 9 (microvascular endothelial differentiation gene-1)","DNAJB9",,,,
"IMMP2L, IMP2","Inner mitochondrial membrane peptidase, subunit 2, S. cerevisiae, homolog of","IMMP2L",,,,
"DOCK4, KIAA0716","Dedicator of cytokinesis 4","DOCK4",,,,
"ZNF277","Zinc finger protein-277","ZNF277",,,,
"IFRD1","Interferon-related developmental regulator 1","IFRD1",,,,
"GPR85, SREB2","G protein-coupled receptor-85","GPR85",,,,
"PPP1R3A, PPP1R3","Protein phosphatase 1, regulatory subunit 3A","PPP1R3A","N","Y","N","N"
"FOXP2, SPCH1, TNRC10, CAGH44","Forkhead box P2","FOXP2","N","Y","N","N"
"MDFIC, HIC","MYOD family inhibitor domain-containing protein","MDFIC",,,,
"TFEC, TFECL","Transcription factor EC","TFEC",,,,
"TES","Testin","TES",,,,
"CAV2","Caveolin-2","CAV2",,,,
"CAV1, BSCL3, CGL3, PPH3, LCCNS","Caveolin-1","CAV1","N","Y","N","N"
"MET, DFNB97, OSFD","Oncogene MET","MET","Y","Y","N","N"
"CAPZA2, CAPPA2","Capping protein (actin filament) muscle Z-line, alpha 2","CAPZA2",,,,
"ST7, TSG7, RAY1, FAM4A1","Suppressor of tumorigenicity 7 (breast)","ST7",,,,
"WNT2, INT1L1","Wingless-type MMTV integration site family, member 2","WNT2",,,,
"ASZ1, ALP1, ANKL1, GASZ","Ankyrin repeat, SAM, and basic leucine zipper domain-containing 1","ASZ1",,,,
"CFTR, ABCC7, CF, MRP7","Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)","CFTR","Y","Y","N","N"
"STQTL2","Stature quantitative trait locus 2","","N","N","N","N"
"CTTNBP2, CORTBP2, KIAA1758","Cortactin-binding protein 2","CTTNBP2",,,,
"LSM8","LSM8, S. cerevisiae, homolog of, U6 small nuclear RNA associated","LSM8",,,,
"ANKRD7","Ankyrin repeat domain-containing protein 7","ANKRD7",,,,
"KCND2, KIAA1044","Potassium voltage-gated channel, Shal-related subfamily, member 2","KCND2",,,,
"TSPAN12, NET2, EVR5","Tetraspanin 12","TSPAN12","N","Y","N","N"
"ING3, P47ING3","Inhibitor of growth family, member 3","ING3",,,,
"WNT16","Wingless-type MMTV integration site family, member 16","WNT16",,,,
"FAM3C","Family with sequence similarity 3, member C","FAM3C",,,,
"PTPRZ1, PTP18","Protein-tyrosine phosphatase, receptor-type, zeta-1, polypeptide","PTPRZ1","N","N","N","N"
"AASS","Alpha-aminoadipic semialdehyde synthase","AASS","Y","N","N","N"
"FEZF1, FEZ, ZNF312B, HH22","FEZ family zinc finger protein 1","FEZF1","Y","N","N","N"
"CADPS2, KIAA1591","Calcium-dependent activator protein for secretion 2","CADPS2",,,,
"TAS2R16, T2R16","Taste receptor type 2, member 16","TAS2R16","N","N","N","N"
"SLC13A1, NAS1","Solute carrier family 13 (sodium/sulfate symporters), member 1","SLC13A1",,,,
"NDUFA5, UQOR13","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 (13kD, B13)","NDUFA5",,,,
"LMOD2, CLMOD","Leiomodin 2","LMOD2",,,,
"WASL, NWASP","Wiskott-Aldrich syndrome gene-like","WASL",,,,
"HYAL4","Hyaluronoglucosaminidase 4","HYAL4",,,,
"SPAM1","Sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)","SPAM1",,,,
"GPR37","G protein-coupled receptor-37","GPR37",,,,
"POT1, CMM10, GLM9","Protection of telomeres 1","POT1","N","Y","N","N"
"GRM8","Glutamate receptor, metabotropic-8","GRM8",,,,
"BCC6","Basal cell carcinoma, susceptibility to, 6","","N","N","N","N"
"CATR1","CATR tumorigenic conversion 1","CATR1",,,,
